Lon	Lat	Region	TypeCatOld	KW_Simple	KW_Working	Name	Map
41.95904	34.43481	Aqur	towns	cite	cite	ʿĀnaŧ	cornu2
40.85162	34.54577	Aqur	waystations	etape	etape	Ḫalīǧ Banū Ǧumayʿ	cornu2
40.78158	34.67900	Aqur	villages	localite	localite	al-Furḍaŧ	cornu2
43.60422	34.69499	Aqur	waters	riviere	riviere	Nahr Diǧlaŧ	cornu2
40.74111	34.71355	Aqur	towns	cite	cite	al-Dāliyaŧ	cornu2
40.45161	34.81073	Aqur	waystations	etape	etape	al-Qamarṭī/al-Qamraṭī ?	cornu2
40.56368	34.92311	Aqur	waystations	etape	etape	al-Fāš	cornu2
40.09518	34.93204	Aqur	waystations	etape	etape	al-ʿAwāmil	cornu2
40.45784	34.98817	Aqur	towns	cite	cite	Raḥbaŧ Malik Ibn Ṭawq	cornu2
43.04545	35.00028	Aqur	waters	riviere	riviere	Nahr Ṯarṯār	cornu2
39.76511	35.05726	Aqur	waystations	etape	etape	al-Qaṣabaŧ ?	cornu2
40.43747	35.14620	Aqur	towns	cite	cite	Qarqīsiyyaŧ	cornu2
40.58767	35.24207	Aqur	towns	cite	cite	Sukayr al-ʿAbbās	cornu2
39.46613	35.32264	Aqur	waystations	etape	etape	al-Ġurayz ?/al-ʿUrayr	cornu2
40.13133	35.32381	Aqur	waystations	etape	etape	Fam Nahr Saʿīd	cornu2
41.13557	35.33548	Aqur	towns	cite	cite?	al-Munḫariq ?	cornu2
40.59626	35.41480	Aqur	towns	cite	cite	al-Fudayn	cornu2
40.65491	35.49287	Aqur	towns	cite	cite	al-Ṣuwwār	cornu2
40.73502	35.50335	Aqur	waters	riviere	riviere	Nahr al-Ḫābūr	cornu2
39.83950	35.58832	Aqur	villages	localite	localite	al-Mubārak	cornu2
40.71642	35.62321	Aqur	towns	cite	cite	al-Ḥuṣayn	cornu2
43.32428	35.62554	Aqur	waystations	etape	etape	al-Baqīʿaŧ ?	cornu2
44.10965	35.64182	Aqur	waters	riviere	riviere	Zāb al-Ṣaġīr/Zāb al-Asfal	cornu2
39.87384	35.65809	Aqur	villages	localite	localite	Bīrā	cornu2
40.75934	35.74173	Aqur	towns	cite	cite	Mīkisīn/Maykisīn/Mākisīn	cornu2
39.81661	35.75218	Aqur	towns	cite	cite	al-Ḫānūqaŧ	cornu2
42.69628	35.79513	Aqur	towns	cite	cite	al-Ḥaḍr	cornu2
38.41040	35.85660	Aqur	sites	lieu	lieu	Ṣiffīn ?	cornu2
40.90954	35.86703	Aqur	towns	cite	cite	al-Šamsīniyyaŧ/al-Šamsāniyyaŧ	cornu2
39.07703	35.94235	Aqur	quarter	faubourg	faubourg	al-Rāfiqaŧ	cornu2
39.05128	35.94930	Aqur	capitals	capitale	capitale	al-Raqqaŧ	cornu2
43.39249	36.02054	Aqur	towns	cite	cite	al-Ḥadīṯaŧ	cornu2
40.69403	36.05814	Aqur	capitals	capitale	capitale	ʿArabān	cornu2
39.09656	36.11754	Aqur	waters	riviere	riviere	Nahr al-Balīḫ	cornu2
38.98556	36.13571	Aqur	towns	cite	cite	Bāǧarwān	cornu2
