region	lon	lat	topType	topTypeAlt	translitTitle	arTitle	topURI	translitTitleOther	arTitleOther	searchNames	arBW
Yemen	40.82270	23.53832	sites	site	Maʿdin Banū Sulaym	معدن بنو سليم	MADINBANUSULAYM_408E235N_O_YEME	Maʿdin Banū Sulaym	معدن بنو سليم	Madin Banu Sulaym	Madin Banu Sulaym
Yemen	42.35312	17.52221	regions	region	Ḍankān	ضنكان	DANKAN_423E175N_R_YEME	Ḍankān	ضنكان	Dankan	Dankan
Yemen	42.39306	17.18513	capitals	cheflieu	ʿAṭṭār	عطار	ATTAR_423E171N_S_YEME	ʿAṭṭār	عطار	Attar	Attar
Yemen	42.39306	17.18513	regions	territoire	ʿAṭṭār	عطار	ATTAR_423E171N_R_YEME	ʿAṭṭār	عطار	Attar	Attar
Yemen	42.53617	17.37689	towns	cite	Bayš	بيش	BAYSH_425E173N_S_YEME	Bayš	بيش	Baysh	Baysh
Yemen	42.55043	16.89564	towns	cite	Ǧāzān	جازان	JAZAN_425E168N_S_YEME	Ǧāzān	جازان	Jazan	Jazan
Yemen	42.56843	15.36876	regions	ile	Ǧazīraŧ Kamarān	جزيرة كمران	JAZIRAKAMARAN_425E153N_R_YEME	Ǧazīraŧ Kamarān	جزيرة كمران	Jazira Kamaran	Jazira Kamaran
Yemen	42.72032	16.99054	regions	region	Ǧāzān	جازان	JAZAN_427E169N_R_YEME	Ǧāzān	جازان	Jazan	Jazan
Yemen	42.73173	15.22479	regions	mikhlaf	al-Ḥirdaŧ	ﭐلحردة	HIRDA_427E152N_R_YEME	al-Ḥirdaŧ	ﭐلحردة	al-Hirda	al-Hirda
Yemen	42.73173	15.22479	towns	cite	al-Ḥirdaŧ	ﭐلحردة	HIRDA_427E152N_S_YEME	al-Ḥirdaŧ	ﭐلحردة	al-Hirda	al-Hirda
Yemen	42.80636	16.32481	towns	cite/port	al-Šarǧaŧ	ﭐلشرجة	SHARJA_428E163N_S_YEME	al-Šarǧaŧ	ﭐلشرجة	al-Sharja	al-Sharja
Yemen	42.82787	16.96745	waystations	etape	al-ʿUrš	ﭐلعرش	URSH_428E169N_S_YEME	al-ʿUrš	ﭐلعرش	al-Ursh	al-Ursh
Yemen	42.88142	16.67647	towns	cite	al-Ḫaṣūf	ﭐلخصوف	KHASUF_428E166N_S_YEME	al-Ḫaṣūf	ﭐلخصوف	al-Khasuf	al-Khasuf
Yemen	42.89942	15.73119	towns	cite	Mawr	مور	MAWR_428E157N_S_YEME	Mawr	مور	Mawr	Mawr
Yemen	42.94507	14.82308	towns	cite	ʿIṭnaŧ	عطنة	ITNA_429E148N_S_YEME	ʿIṭnaŧ	عطنة	Itna	Itna
Yemen	42.94727	16.37831	regions	region	Ḥakam	حكم	HAKAM_429E163N_R_YEME	Ḥakam	حكم	Hakam	Hakam
Yemen	43.00170	16.70128	waters	wadi	Wādī Ḫulab	وادي خلب	WADIKHULAB_430E167N_W_YEME	Wādī Ḫulab	وادي خلب	Wadi Khulab	Wadi Khulab
Yemen	43.01443	15.67118	waters	wadi	Wādī Mawr	وادي مور	WADIMAWR_430E156N_W_YEME	Wādī Mawr	وادي مور	Wadi Mawr	Wadi Mawr
Yemen	43.03243	14.44273	towns	cite	Ġalāfiqaŧ	غلافقة	GHALAFIQA_430E144N_S_YEME	Ġalāfiqaŧ	غلافقة	Ghalafiqa	Ghalafiqa
Yemen	43.03594	15.96703	regions	region	Ḥayrān	حيران	HAYRAN_430E159N_R_YEME	Ḥayrān	حيران	Hayran	Hayran
Yemen	43.03638	15.18964	regions	region	Surdud	سردد	SURDUD_430E151N_R_YEME	Surdud, Surdad	سردد، سردد	Surdud, Surdad	Surdud, Surdad
