geoTitle,cornuName,geoTitleOther,lat,lon,cornuRegion,geoProv,geoFinalReg,eiSearch
سيراف,سيراف,سيراف,27.69666,52.34306,Faris,فارس,أردشيرخره,Siraf
جور,جور,جور/ بيروزاباذ,28.84797,52.58324,Faris,فارس,أردشيرخره,|Jur, Bayruzabadh|
ميمند,ميمند,ميمند,28.88488,52.85141,Faris,فارس,أردشيرخره,Mimand
نابند,نابند,نابند,27.34352,52.64171,Faris,فارس,أردشيرخره,Naband
نابند,نابند,نابند,32.33053,57.58788,Mafaza,فارس,أردشيرخره,Naband
الصيمكان,الصيمكان,الصيمكان,28.69941,53.13182,Faris,فارس,أردشيرخره,al-Simakan
خبر,خبر,خبر,28.76436,53.27732,Faris,فارس,أردشيرخره,Khabr
خبر,خبر,خبر,28.85863,56.31341,Kirman,فارس,أردشيرخره,Khabr
خورستان,خورستان,خورستان/ سروستان,29.25713,53.20589,Faris,فارس,أردشيرخره,|Khawaristan, Sarwistan|
خورستان,خورستان,خورستان,29.95166,54.09036,Faris,فارس,أردشيرخره,Khawaristan
الغندجان,الغندجان,الغندجان,29.22327,51.26065,Faris,فارس,أردشيرخره,al-Ghundijan
كران,كران,كران,27.76342,52.86193,Faris,فارس,أردشيرخره,Kuran
نجيرم,نجيرم,نجيرم,28.49687,51.12283,Faris,فارس,أردشيرخره,Najiram
سورو,سورو,سورو,27.19067,56.21348,Faris,فارس,أردشيرخره,Suru
درابجرد,درابجرد,درابجرد,28.75143,54.54591,Faris,فارس,درابجرد,Darabajird
طبستان,طبرستان,طبرستان,36.34732,52.60329,Daylam,فارس,درابجرد,Tabaristan
طبستان,طبستان,طبستان/ طمستان/ طمارستان,28.94971,53.81699,Faris,فارس,درابجرد,|Tabistan, Tamistan, Timaristan|
كرم,كرم,كرم,29.07233,53.608,Faris,فارس,درابجرد,Kurm
يزدخواست,يزدخواست,يزدخواست,28.33754,54.43137,Faris,فارس,درابجرد,Yazdakhawast
كدروا,كدروا,كدروا,29.16368,54.67346,Faris,فارس,درابجرد,Kadruwa
خيار,خيار,خيار/ خير/ خيرة,29.25944,53.93868,Faris,فارس,نيريز,|Khayar, Khayr, Khayra|
المريزجان,المريزجان,المريزجان,28.80847,54.39753,Faris,فارس,نيريز,al-Murayzijan
الماذوان,الماذون,الماذون,28.72175,54.29861,Faris,فارس,نيريز,al-Madhawan
روبنج,روبنج,روبنج,28.5161,54.40794,Faris,فارس,خسو,Rubanj
فرج,فرج,فرج,28.31921,55.16805,Faris,فارس,خسو,Furj
تارم,تارم,تارم/ تارم,28.18163,55.80841,Faris,فارس,خسو,|Tarim, Tarum|
شيراز,شيراز,شيراز,29.61884,52.52867,Faris,فارس,شيراز,Shiraz
البيضاء,البيضاء,البيضاء,41.83632,0.57785,Andalus,فارس,شيراز,al-Bayda
البيضاء,البيضاء,البيضاء/ نسا,30.03958,52.36712,Faris,فارس,شيراز,|al-Bayda, Nasa|
البيضاء,البيضاء,البيضاء,26.79044,37.01435,Jazirat al-Arab,فارس,شيراز,al-Bayda
فسا,فسا,فسا,28.92193,53.63181,Faris,فارس,شيراز,Fasa
جور,جور,جور/ بيروزاباذ,28.84797,52.58324,Faris,فارس,شيراز,|Jur, Bayruzabadh|
كارزين,كارزن,كارزن,28.40599,53.11293,Faris,فارس,شيراز,Karzin
دشت بارين,دشت بارين,دشت بارين,29.28011,51.26816,Faris,فارس,شيراز,Dasht Barin
دشت بارين,دشت برين,دشت برين,28.40625,56.1416,Kirman,فارس,شيراز,Dasht Barin
جم,جم,جم,27.8168,52.39133,Faris,فارس,شيراز,Jamm
كورد,كورد,كورد/ كورد,30.69092,51.9324,Faris,فارس,شيراز,|Kurd, Kurad|
هزار,هزار,هزار/ أزار سابور,29.94029,52.49428,Faris,فارس,شيراز,|Hazar, Azar Sabur|
شهرستان,شهرستان,شهرستان/ جرجان,37.19091,55.206,Daylam,فارس,سابور,|Shahrastan, Jurjan|
شهرستان,شهرستان,شهرستان/ سابور,29.83157,51.51624,Faris,فارس,سابور,|Shahrastan, Sabur|
شهرستان,سابور,شهرستان,29.83157,51.51624,Faris,فارس,سابور,|Sabur, Shahrastan|
دريز,دريز,دريز,29.66188,51.54129,Faris,فارس,سابور,Dariz
كازرون,كازرون,كازرون,29.60743,51.68412,Faris,فارس,سابور,Kazarun
كاريان,كاريان,كاريان,28.05935,53.70323,Faris,فارس,سابور,Karyan
توز,توز,توز/ توج !,29.44172,51.03513,Faris,فارس,سابور,|Tawwaz, Tawwaj !|
توز,توز,توز/ توج !,29.42208,51.17294,Faris,فارس,سابور,|Tawwaz, Tawwaj !|
توز,توز,توز,26.71435,42.29198,Jazirat al-Arab,فارس,سابور,Tuz
خشت,خشت,خشت,29.54859,51.30575,Faris,فارس,سابور,Khasht
خشت,خشت,خشت/ خست/ خاست/ خوشت,34.34906,63.94658,Khurasan,فارس,سابور,|Khasht, Khast, Khast, Khwasht|
خشت,خاش,خشت,41.02958,70.53285,Transoxiana,فارس,سابور,|Khash, Khas, Khasht|
هراة,هراة,هراة,30.11392,54.41315,Faris,فارس,إصطخر,Hara
هراة,هراة,هراة,34.33419,62.15235,Khurasan,فارس,إصطخر,Hara
هراة,هراة,هراة,34.33419,62.15235,Khurasan,فارس,إصطخر,Hara
ميبذ,ميبذ,ميبذ,32.27744,53.98932,Faris,فارس,إصطخر,Maybudh
الحيرة,الحيرة,الحيرة,32.01734,44.37232,Iraq,فارس,إصطخر,al-Hira
فاروق,فاروق,فاروق,29.97467,53.06569,Faris,فارس,إصطخر,Faruq
سروستان,سرويستان,سرويستان/ سرورير,31.42233,52.43219,Faris,فارس,إصطخر,|Sarwistan, Sarurir|
سروستان,خورستان,سروستان,29.25713,53.20589,Faris,فارس,إصطخر,|Khawaristan, Sarwistan|
سروستان,سرويستان,سرويستان,29.27422,57.89378,Kirman,فارس,إصطخر,Sarwistan
أورد,أورد,أورد,30.77818,51.99227,Faris,فارس,إصطخر,Urd
