id,diedAt,country,city
HA4987,590,MACROREG-ANDALUS,QURTUBA_047W379N_S_ANDA
HA4989,569,MACROREG-EGYPT,QAHIRA_312E300N_S_EGYP
HA4989,569,MACROREG-SARABIA,MADINA_396E244N_S_JAZI
HA4990,289,MACROREG-EGYPT,QAHIRA_312E300N_S_EGYP
HA4990,289,MACROREG-MAWARANNAHR,BALAYAN_694E411N_S_TRAN
HA4991,305,MACROREG-IRAN,ISBAHAN_516E326N_S_JIBA
HA4993,0,MACROREG-MAWARANNAHR,BALAYAN_694E411N_S_TRAN
HA4994,194,MACROREG-IRAN,ISBAHAN_516E326N_S_JIBA
HA4995,262,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA4996,0,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA4997,294,MACROREG-IRAN,ISBAHAN_516E326N_S_JIBA
HA4997,294,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA4998,339,MACROREG-IRAN,ISBAHAN_516E326N_S_JIBA
HA4998,339,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA5000,328,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA5001,331,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA5003,330,MACROREG-IRAN,ISBAHAN_516E326N_S_JIBA
HA5004,375,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA5005,385,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA5005,385,MACROREG-SYRIA,DIMASHQ_363E335N_S_SHAM
HA5008,442,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA5009,455,MACROREG-SARABIA,MADINA_396E244N_S_JAZI
HA5010,459,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA5010,459,MACROREG-SYRIA,DIMASHQ_363E335N_S_SHAM
HA5011,460,MACROREG-ANDALUS,QURTUBA_047W379N_S_ANDA
HA5012,468,MACROREG-MAWARANNAHR,BALAYAN_694E411N_S_TRAN
HA5013,501,MACROREG-ANDALUS,QURTUBA_047W379N_S_ANDA
HA5015,517,MACROREG-IRAN,ISBAHAN_516E326N_S_JIBA
HA5017,536,MACROREG-IRAN,ISBAHAN_516E326N_S_JIBA
HA5017,536,MACROREG-MAWARANNAHR,BALAYAN_694E411N_S_TRAN
HA5018,537,MACROREG-MAWARANNAHR,BALAYAN_694E411N_S_TRAN
HA5019,539,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA5019,539,MACROREG-SYRIA,DIMASHQ_363E335N_S_SHAM
HA5022,562,MACROREG-IRAN,ISBAHAN_516E326N_S_JIBA
HA5023,559,MACROREG-IRAN,ISBAHAN_516E326N_S_JIBA
HA5024,570,MACROREG-ANDALUS,QURTUBA_047W379N_S_ANDA
HA5025,570,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA5026,579,MACROREG-ANDALUS,QURTUBA_047W379N_S_ANDA
HA5027,576,MACROREG-MAWARANNAHR,BALAYAN_694E411N_S_TRAN
HA5028,575,MACROREG-MAGHRIB,BISKARA_057E348N_S_MAGH
HA5028,575,MACROREG-SYRIA,DIMASHQ_363E335N_S_SHAM
HA5029,584,MACROREG-MAWARANNAHR,BALAYAN_694E411N_S_TRAN
HA5030,586,MACROREG-SARABIA,MADINA_396E244N_S_JAZI
HA5031,594,MACROREG-MAWARANNAHR,BALAYAN_694E411N_S_TRAN
HA5032,600,MACROREG-MAWARANNAHR,BALAYAN_694E411N_S_TRAN
HA5034,607,MACROREG-IRAN,ISBAHAN_516E326N_S_JIBA
HA5035,622,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA5036,630,MACROREG-SYRIA,DIMASHQ_363E335N_S_SHAM
HA5037,632,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA5038,633,MACROREG-ANDALUS,QURTUBA_047W379N_S_ANDA
HA5038,633,MACROREG-EGYPT,QAHIRA_312E300N_S_EGYP
HA5039,636,MACROREG-EGYPT,QAHIRA_312E300N_S_EGYP
HA5039,636,MACROREG-SYRIA,DIMASHQ_363E335N_S_SHAM
HA5040,645,MACROREG-ANDALUS,QURTUBA_047W379N_S_ANDA
HA5041,660,MACROREG-SYRIA,DIMASHQ_363E335N_S_SHAM
HA5042,673,MACROREG-MAWARANNAHR,BALAYAN_694E411N_S_TRAN
HA5043,670,MACROREG-SYRIA,DIMASHQ_363E335N_S_SHAM
HA5045,691,MACROREG-MAWARANNAHR,BALAYAN_694E411N_S_TRAN
HA5045,691,MACROREG-SYRIA,DIMASHQ_363E335N_S_SHAM
HA5046,695,MACROREG-EGYPT,QAHIRA_312E300N_S_EGYP
HA5047,696,MACROREG-EGYPT,QAHIRA_312E300N_S_EGYP
HA5047,696,MACROREG-SYRIA,DIMASHQ_363E335N_S_SHAM
HA5048,696,MACROREG-SARABIA,MADINA_396E244N_S_JAZI
HA5049,698,MACROREG-SYRIA,DIMASHQ_363E335N_S_SHAM
HA5050,699,MACROREG-EGYPT,QAHIRA_312E300N_S_EGYP
HA5050,699,MACROREG-IRAN,ISBAHAN_516E326N_S_JIBA
HA5051,702,MACROREG-SARABIA,MADINA_396E244N_S_JAZI
HA5052,703,MACROREG-SARABIA,MADINA_396E244N_S_JAZI
HA5054,717,MACROREG-ANDALUS,QURTUBA_047W379N_S_ANDA
HA5055,716,MACROREG-EGYPT,QAHIRA_312E300N_S_EGYP
HA5056,726,MACROREG-SYRIA,DIMASHQ_363E335N_S_SHAM
