زرداباذ,36.65798,55.30802
كدروا,29.16368,54.67346
نيريز,29.21368,54.27518
الثجة,13.97911,44.17683
كورد وكلار,null,null
باسند,38.21375,67.24396
الطائف,21.21629,40.40566
ترمذ,null,null
يلملم,20.84741,40.08231
خان رش,32.23981,51.79877
الرافقة,30.6947,30.73593
خان روشن,31.25559,52.02871
عونید,null,null
برقة,32.37576,20.84475
قلرى,null,null
تل فافان,37.72559,41.78238
ابارست,null,null
مکة,21.39132,39.83612
أرمية,null,null
شبام,15.92483,48.57208
تبسة,null,null
منزل ابن بندقة,30.09522,31.93498
كهمندة,30.2849,53.1975
بلخان,37.51897,66.00329
خوسكان,30.5027,52.48426
تستر,32.0511,48.85461
النقموذية,null,null
بلور,35.81911,52.0667
العمق,36.38345,36.47102
وادی القری,null,null
باجة,36.67738,9.20563
جرجان,37.19091,55.206
الكبس,null,null
نوباغ,42.2688,59.81853
نهر دبا,null,null
بدا یعقوب,null,null
رباط ماش,41.35412,61.49617
مرج وزهر,33.08994,50.95356
كنجر,null,null
مليتية,null,null
أشبورقان,36.65136,65.78352
ركان,29.7751,52.74824
فهل فهرة,null,null
معلثايا,null,null
كه,null,null
بنجواى,31.51036,65.43237
الفسطاط,30.04325,31.24964
درسان,null,null
شاواب,null,null
قصر شيرين,34.49996,45.62659
البنك,null,null
قرية الجن,null,null
فدين,35.4148,40.59626
رباط كرزوان,35.61955,63.81969
کحلان,13.96335,44.85637
الطيب,32.22674,47.30428
حمص,34.73793,36.72425
الرقة,35.9493,39.05128
راذان,30.12067,54.70209
الكرخ,33.31703,44.35293
مالن,36.81403,65.07649
بومينه,30.93264,29.71572
العينية,null,null
بست,31.39108,64.39078
بلد روب,null,null
جاه زندايا,null,null
السكير,null,null
قرية الخلاف,30.63942,53.18449
دمياط,31.43739,31.79125
العرج,23.85851,39.20944
قصر الفيل,null,null
جرباذقان,33.3812,50.29276
رنیة,null,null
تل حوم,38.19784,39.75447
البذان,null,null
نشديغن/رباط؟؟؟,null,null
جاجستان,null,null
الدولاب,null,null
بزدة,39.03468,65.44949
البصرة,34.82887,-5.88806
تيرم,31.39156,49.82612
المهجرة,17.60657,43.54039
قومسة,32.00251,51.86732
الزيز,null,null
طليطلة,39.88926,-4.0521
الرحبة,27.67097,36.48835
كلنا,null,null
مندم,31.02269,48.881
المدينة,24.47782,39.60908
سجلماسة,31.27819,-4.23723
قلعة المجوس,null,null
فيق,32.77421,35.67655
دهليزان,30.77763,49.97179
تل وان,null,null
كندك,38.37384,66.78829
جسداء,19.51994,42.71961
الحارله,null,null
نوزوار,42.00196,59.39815
هيت,33.6437,42.80628
صغر,31.03706,35.46845
بوزنجرد,34.95777,48.98488
برديج,40.23581,47.56971
طابران,36.42208,59.49915
قنوان,null,null
ربنجن,39.86785,66.37226
الشماخية,40.67871,48.68505
ضریة,null,null
جكم,39.58498,64.73843
رباط عتيق,39.44667,65.02339
قلعة يونس,null,null
بارجاخ,42.62635,70.80406
لبلة,37.38969,-6.66965
بوزجان,35.17917,60.61524
الجدد,21.733,41.07197
بم,29.10304,58.34327
املوتا,null,null
داور,null,null
أستراباذ,null,null
برذعة,40.45334,47.23624
مدین,null,null
السيب,32.97916,44.8461
قرية الأسد,31.55774,53.84828
عين العصافير,null,null
ريك,null,null
بارجمت,33.05675,11.63847
مرزك,null,null
هزاراسب,41.2861,61.09517
حى عبد الله,null,null
خاره,null,null
ماذرواستان,null,null
بشتر,null,null
بيان,30.46468,48.03005
درهفان,null,null
زنجان,36.66235,48.5053
بغيشن,null,null
جويم ابى احمد,null,null
الفحيمة,34.23688,42.18317
شاباوك,30.13418,55.05872
إصطخر,29.97008,52.92548
بلبيس,30.41776,31.57097
مرسية,37.99945,-1.11443
السكرية,31.56416,34.65335
الطاق,30.68777,62.12651
نسفان,14.02916,44.8432
الديلمان,36.69592,50.52548
تربة,21.25283,41.6403
كوفن,null,null
الفعونية,null,null
السيرجان,29.46102,55.74854
حليمان,32.77902,22.203
الفوارة,33.55129,10.50881
راس السكر,29.7751,52.87257
الباميان,34.84737,67.80206
البطان,28.74899,43.27579
بالس,29.64265,67.65738
الطواويس,40.01136,64.78279
سنجاهان,29.74023,50.38864
السقیا,null,null
ابادان,null,null
المروة,25.71785,38.58647
عدن,12.79365,45.03942
