NAIMA_354E337N_S_SHAM,BAYRUT_355E339N_S_SHAM,14565
SAYDA_353E335N_S_SHAM,NAIMA_354E337N_S_SHAM,25081
SAYDA_353E335N_S_SHAM,QARUN_357E335N_S_SHAM,45163
QARYAUYUN_355E333N_S_SHAM,QARUN_357E335N_S_SHAM,27531
SARAFANDA_352E334N_S_SHAM,SAYDA_353E335N_S_SHAM,15102
ADHNUN_352E333N_S_SHAM,SARAFANDA_352E334N_S_SHAM,7015
ROUTPOINT0117_355E332N_O_NODA,QARYAUYUN_355E333N_S_SHAM,15767
SUR_352E332N_S_SHAM,ADHNUN_352E333N_S_SHAM,15049
MAJDALSALIM_354E332N_S_SHAM,ROUTPOINT0117_355E332N_O_NODA,11559
BANIYAS_356E332N_S_SHAM,ROUTPOINT0117_355E332N_O_NODA,11718
QADAS_354E331N_S_SHAM,ROUTPOINT0117_355E332N_O_NODA,14058
JUBBYUSUF_355E329N_S_SHAM,ROUTPOINT0117_355E332N_O_NODA,34039
JASHSH_354E330N_S_SHAM,JUBBYUSUF_355E329N_S_SHAM,14015
ROUTPOINT0116_354E331N_O_NODA,JASHSH_354E330N_S_SHAM,10026
ROUTPOINT0116_354E331N_O_NODA,QADAS_354E331N_S_SHAM,5132
SUR_352E332N_S_SHAM,MAJDALSALIM_354E332N_S_SHAM,23480
SUR_352E332N_S_SHAM,ROUTPOINT0116_354E331N_O_NODA,28007
AKKA_350E329N_S_SHAM,SUR_352E332N_S_SHAM,41219
TABARIYYA_355E327N_S_SHAM,JUBBYUSUF_355E329N_S_SHAM,17413
KABUL_352E328N_S_SHAM,TABARIYYA_355E327N_S_SHAM,29917
AKKA_350E329N_S_SHAM,KABUL_352E328N_S_SHAM,15039
LAJJUN_352E326N_S_SHAM,AKKA_350E329N_S_SHAM,40303
KANISA_349E327N_S_SHAM,AKKA_350E329N_S_SHAM,25359
QAYSARIYYA_348E324N_S_SHAM,KANISA_349E327N_S_SHAM,28876
LAJJUN_352E326N_S_SHAM,TABARIYYA_355E327N_S_SHAM,30012
ROUTPOINT0115_355E326N_O_NODA,AQABAFIQ_356E327N_S_SHAM,16084
TABARIYYA_355E327N_S_SHAM,ROUTPOINT0115_355E326N_O_NODA,9474
BAYSAN_354E325N_S_SHAM,ROUTPOINT0115_355E326N_O_NODA,23063
TAASIR_353E323N_S_SHAM,BAYSAN_354E325N_S_SHAM,20915
NABULUS_352E322N_S_SHAM,TAASIR_353E323N_S_SHAM,19764
LAJJUN_352E326N_S_SHAM,BAYSAN_354E325N_S_SHAM,24977
QALANSUWA_349E322N_S_SHAM,LAJJUN_352E326N_S_SHAM,44562
NABULUS_352E322N_S_SHAM,ROUTPOINT0113_351E319N_O_NODA,38952
LUDD_348E319N_S_SHAM,NABULUS_352E322N_S_SHAM,48054
KAFARSABA_348E321N_S_SHAM,QAYSARIYYA_348E324N_S_SHAM,35684
ARSUF_348E321N_S_SHAM,QAYSARIYYA_348E324N_S_SHAM,34174
LUDD_348E319N_S_SHAM,QALANSUWA_349E322N_S_SHAM,38883
KAFARSABA_348E321N_S_SHAM,QALANSUWA_349E322N_S_SHAM,16095
LUDD_348E319N_S_SHAM,KAFARSABA_348E321N_S_SHAM,24907
RAMLA_348E319N_S_SHAM,ARSUF_348E321N_S_SHAM,30543
BAYTRAM_356E318N_S_SHAM,AMMAN_359E319N_S_SHAM,34448
ROUTPOINT0108_355E317N_O_NODA,BAYTRAM_356E318N_S_SHAM,7557
ROUTPOINT0108_355E317N_O_NODA,RIHA_354E318N_S_SHAM,10321
ROUTPOINT0114_353E318N_O_NODA,RIHA_354E318N_S_SHAM,5431
ROUTPOINT0107_354E318N_O_NODA,RIHA_354E318N_S_SHAM,6119
ROUTPOINT0107_354E318N_O_NODA,ROUTPOINT0108_355E317N_O_NODA,8938
ROUTPOINT0114_353E318N_O_NODA,ROUTPOINT0107_354E318N_O_NODA,6917
ROUTPOINT0106_353E318N_O_NODA,ROUTPOINT0114_353E318N_O_NODA,1833
ROUTPOINT0113_351E319N_O_NODA,ROUTPOINT0106_353E318N_O_NODA,20708
BAYTMAQDIS_352E317N_S_SHAM,ROUTPOINT0106_353E318N_O_NODA,18021
BAYTMAQDIS_352E317N_S_SHAM,BAYTLAHM_351E317N_S_SHAM,7897
ROUTPOINT0113_351E319N_O_NODA,BAYTMAQDIS_352E317N_S_SHAM,14573
RAMLA_348E319N_S_SHAM,ROUTPOINT0113_351E319N_O_NODA,31582
RAMLA_348E319N_S_SHAM,LUDD_348E319N_S_SHAM,4003
YAFA_347E320N_S_SHAM,RAMLA_348E319N_S_SHAM,18768
ROUTPOINT0112_346E318N_O_NODA,YAFA_347E320N_S_SHAM,20734
ROUTPOINT0112_346E318N_O_NODA,RAMLA_348E319N_S_SHAM,16444
YUBNA_347E318N_S_SHAM,RAMLA_348E319N_S_SHAM,13598
ROUTPOINT0111_346E318N_O_NODA,YUBNA_347E318N_S_SHAM,6968
ROUTPOINT0111_346E318N_O_NODA,ROUTPOINT0112_346E318N_O_NODA,5732
MAHUZYUBNA_346E318N_S_SHAM,ROUTPOINT0112_346E318N_O_NODA,2890
MAHUZAZDUD_346E318N_S_SHAM,MAHUZYUBNA_346E318N_S_SHAM,7789
MAHUZAZDUD_346E318N_S_SHAM,ROUTPOINT0111_346E318N_O_NODA,4489
AZDUD_346E317N_S_SHAM,ROUTPOINT0111_346E318N_O_NODA,4034
ROUTPOINT0104_350E316N_O_NODA,RAMLA_348E319N_S_SHAM,33074
