arBW,source,arTitle,lat,eiSearch,lon,region,translitTitleOther,topURI,searchNames,topTypeAlt,topType,translitTitle,arTitleOther,UStranslitTitle
mxADo AlblAT,Andalus,مخاضة البلاط,39.80641,Makhada al-Balat,-6.06629,Andalus,Maḫāḍaŧ al-Balāṭ,MAKHADABALAT_060W398N_S_ANDA,Makhada al-Balat,cite,towns,Maḫāḍaŧ al-Balāṭ,مخاضة البلاط,Maḫāḍaŧ al-Balāṭ
EryE,Andalus,شريش,36.69169,Sharish,-6.10856,Andalus,Šarīš,SHARISH_061W366N_S_ANDA,Sharish,cite,towns,Šarīš,شريش,Šarīš
qAds,Andalus,قادس,36.57191,Qadis,-6.18409,Andalus,Qādis,QADIS_061W365N_R_ANDA,Qadis,ile,regions,Qādis,قادس,Qādis
mArdo,Andalus,ماردة,38.89521,Marida,-6.32886,Andalus,Māridaŧ,MARIDA_063W388N_S_ANDA,Marida,cite,towns,Māridaŧ,ماردة,Māridaŧ
qSrAE,Andalus,قصراش,39.46953,Qasarash,-6.3954,Andalus,Qaṣarāš,QASARASH_063W394N_S_ANDA,Qasarash,cite,towns,Qaṣarāš,قصراش,Qaṣarāš
qryo,Andalus,قرية,39.9627,Quriya,-6.55006,Andalus,Quriyaŧ,QURIYA_065W399N_S_ANDA,Quriya,cite,towns,Quriyaŧ,قرية,Quriyaŧ
lblo,Andalus,لبلة,37.38969,Labla,-6.66965,Andalus,Lablaŧ,LABLA_066W373N_S_ANDA,Labla,cite,towns,Lablaŧ,لبلة,Lablaŧ
qnTro Alsyf,Andalus,قنطرة السيف,39.69061,Qantara al-Sif,-6.8414,Andalus,Qanṭaraŧ al-Sīf,QANTARASIF_068W396N_S_ANDA,Qantara al-Sif,cite,towns,Qanṭaraŧ al-Sīf,قنطرة السيف,Qanṭaraŧ al-Sīf
Almcdo,Andalus,المئدة,40.62317,al-Maida,-6.87557,Andalus,al-Maʾidaŧ,MAIDA_068W406N_S_ANDA,al-Maida,cite,towns,al-Maʾidaŧ,المئدة,al-Maʾidaŧ
bTlyws، bTlywv,Andalus,بطليوس,38.835,Batalyus-Batalyuth,-6.99606,Andalus,Baṭalyūs-Baṭalyūṯ,BATALYUS_069W388N_R_ANDA,Batalyus-Batalyuth,region,regions,Baṭalyūs,بطليوس، بطليوث,Baṭalyūs
