Lon	Lat	Region	TypeCat	KW	Name	Map
38.82122	37.1497	Aqur	towns	cite	al-Ruhā	cornu2
42.9665	36.27006	Aqur	waystations	etape	al-Šaḥḥāǧiyyaŧ	cornu2
40.90954	35.86703	Aqur	towns	cite	al-Šamsīniyyaŧ/al-Šamsāniyyaŧ	cornu2
40.65491	35.49287	Aqur	towns	cite	al-Ṣuwwār	cornu2
42.41353	33.98559	Aqur	towns	cite	Ālūs/Ālūsā	cornu2
40.21323	37.9151	Aqur	capitals	capitale	Āmid	cornu2
41.95904	34.43481	Aqur	towns	cite	ʿĀnaŧ	cornu2
40.69403	36.05814	Aqur	capitals	capitale	ʿArabān	cornu2
37.96251	38.36373	Aqur	waystations	etape	ʿArqaŧ	cornu2
41.65964	37.9789	Aqur	villages	localite	Arzan	cornu2
38.91206	36.34984	Aqur	waystations	etape	ʿAyn al-Rūmiyyaŧ ?	cornu2
43.36699	36.41022	Aqur	villages	bourgade	Bāʿašīqā	cornu2
42.43701	36.6609	Aqur	towns	cite	Bāʿaynāṯā ?	cornu2
42.13266	38.3955	Aqur	towns	cite	Badlīs/Bidlīs	cornu2
38.98556	36.13571	Aqur	towns	cite	Bāǧarwān	cornu2
42.758	36.47417	Aqur	towns	cite	Balad	cornu2
39.3345	37.75537	Aqur	waystations	etape	Bāmaqarā/Bāmaqdaŧ ?	cornu2
42.07551	36.95274	Aqur	towns	cite	Barqaʿīd	cornu2
39.87384	35.65809	Aqur	villages	localite	Bīrā	cornu2
41.25352	36.38728	Aqur	waters	lac	Buḥayraŧ Ḫātūniyyaŧ	cornu2
40.94689	37.18527	Aqur	towns	cite	Dārā	cornu2
41.1598	34.33397	Aqur	waystations	etape	Dāziqī	cornu2
40.67909	37.84795	Aqur	regions	circonscription	Diyār Bakr	cornu2
38.98256	36.56338	Aqur	regions	circonscription	Diyār Muḍar	cornu2
41.99451	36.65368	Aqur	regions	circonscription	Diyār Rabīʿaŧ	cornu2
37.17675	37.17638	Aqur	towns	cite	Dulūk	cornu2
40.58146	37.16749	Aqur	villages	localite	Dunaysīr	cornu2
40.13133	35.32381	Aqur	waystations	etape	Fam Nahr Saʿīd	cornu2
42.43096	37.04735	Aqur	towns	cite	Fayšābūr	cornu2
42.51884	37.36064	Aqur	sites	montagne	Ǧabal al-Ǧūdī	cornu2
39.61765	37.92941	Aqur	waystations	etape	Ǧarnān ?	cornu2
42.19943	37.28521	Aqur	regions	territoire	Ǧazīraŧ Ibn ʿUmar	cornu2
38.22057	36.67173	Aqur	towns	ville	Ǧisr Manbiǧ	cornu2
38.91048	37.41051	Aqur	waystations	etape	Ǧullāb	cornu2
42.80477	37.06628	Aqur	waters	riviere	Ḫābūr al-Ḥasaniyyaŧ	cornu2
40.85162	34.54577	Aqur	waystations	etape	Ḫalīǧ Banū Ǧumayʿ	cornu2
39.08906	36.88438	Aqur	towns	cite	Ḥarrān	cornu2
