cornu1	30.26155	35.32238	الجبال	al-Ǧibāl	al-Jibāl	al-Jibal	regions	JIBAL_353N302E_C01	AljbAl
cornu1	32.74750	34.95381	الكنيسة	al-Kanīsaŧ	al-Kanīsa	al-Kanisa	villages	KANISA_349N327E_C01	Alknyso
cornu1	31.20812	35.04078	الكسيفة	al-Kusayfaŧ	al-Kusayfa	al-Kusayfa	waystations	KUSAYFA_350N312E_C01	Alksyfo
cornu1	33.35826	36.23184	الكسوة	al-Kuswaŧ	al-Kuswa	al-Kuswa	waystations	KUSWA_362N333E_C01	Alkswo
cornu1	35.51961	35.80763	اللاذقية	al-Lāḏiqiyyaŧ	al-Lādhiqiyya	al-Ladhiqiyya	towns	LADHIQIYYA_358N355E_C01	AllAVqyo
cornu1	32.60823	35.27017	اللججون	al-Laǧǧūn	al-Lajjūn	al-Lajjun	towns	LAJJUN_352N326E_C01	Alljjwn
cornu1	34.42297	36.42642	المقلوب	al-Maqlūb	al-Maqlūb	al-Maqlub	waters	MAQLUB_364N344E_C01	Almqlwb
cornu1	36.94067	35.66897	المصيصة	al-Miṣṣīṣaŧ	al-Miṣṣīṣa	al-Missisa	sites	MISSISA_356N369E_C01	AlmSySo
cornu1	33.77683	35.46741	الناعمة	al-Nāʿimaŧ	al-Nāʿima	al-Naima	towns	NAIMA_354N337E_C01	AlnACmo
cornu1	34.02567	36.73220	النبك	al-Nabk	al-Nabk	al-Nabk	waystations	NABK_367N340E_C01	Alnbk
cornu1	33.57083	35.71229	القرعون	al-Qarʿūn	al-Qarʿūn	al-Qarun	waystations	QARUN_357N335E_C01	AlqrCwn
cornu1	34.22510	37.24976	القريتان	al-Qaryatān	al-Qaryatān	al-Qaryatan	waystations	QARYATAN_372N342E_C01	AlqrytAn
cornu1	35.06025	37.57892	القسطل	al-Qasṭal	al-Qasṭal	al-Qastal	waystations	QASTAL_375N350E_C01	AlqsTl
cornu1	33.74546	36.60247	القطيفة	al-Quṭayyifaŧ	al-Quṭayyifa	al-Qutayyifa	waystations	QUTAYYIFA_366N337E_C01	AlqTyfo
cornu1	31.92484	34.86436	الرملة	al-Ramlaŧ	al-Ramla	al-Ramla	capitals	RAMLA_348N319E_C01	Alrmlo
cornu1	31.89279	35.96419	الرقيم|الرقم	al-Raqīm/al-Raqam	al-Raqīm/al-Raqam	al-Raqim/al-Raqam	villages	RAQIM_359N318E_C01	Alrqym|Alrqm
cornu1	35.60242	38.77933	الرصافة	al-Ruṣāfaŧ	al-Ruṣāfa	al-Rusafa	waystations	RUSAFA_387N356E_C01	AlrSAfo
cornu1	31.56416	34.65335	السكرية	al-Sukkariyyaŧ ?	al-Sukkariyya ?	al-Sukkariyya	villages	SUKKARIYYA_346N315E_C01	Alskryo
cornu1	36.08960	35.99387	السويدية	al-Suwaydiyyaŧ	al-Suwaydiyya	al-Suwaydiyya	towns	SUWAYDIYYA_359N360E_C01	Alswydyo
cornu1	32.07029	36.08689	الزرقاء	al-Zarqāʾ ?	al-Zarqāʾ ?	al-Zarqa	waystations	ZARQA_360N320E_C01	AlzrqAc
cornu1	36.19718	36.18418	أنطاكية	Anṭākiyyaŧ	Anṭākiyya	Antakiyya	towns	ANTAKIYYA_361N361E_C01	AnTAkyo
cornu1	34.89985	35.90356	أنطرطوس|أنطرسوس|طرطوس	Anṭarṭūs/Anṭarsūs/Ṭarṭūs	Anṭarṭūs/Anṭarsūs/Ṭarṭūs	Antartus/Antarsus/Tartus	towns	ANTARTUS_359N348E_C01	AnTrTws|AnTrsws|TrTws
cornu1	34.35634	35.73678	أنفة	Anafaŧ	Anafa	Anafa	towns	ANAFA_357N343E_C01	Anfo
cornu1	32.19588	34.80739	أرسوف	Arsūf	Arsūf	Arsuf	towns	ARSUF_348N321E_C01	Arswf
cornu1	31.79837	34.66817	أزدود|يزدود	Azdūd/Yazdūd	Azdūd/Yazdūd	Azdud/Yazdud	sites	AZDUD_346N317E_C01	Azdwd|yzdwd
cornu1	36.02806	38.09005	بالس	Bālis	Bālis	Balis	towns	BALIS_380N360E_C01	bAls
cornu1	33.25150	35.67787	بانياس	Bāniyās	Bāniyās	Baniyas	towns	BANIYAS_356N332E_C01	bAnyAs
cornu1	34.71618	36.32185	بوقا	Būqā	Būqā	Buqa	regions	BUQA_363N347E_C01	bwqA
cornu1	34.01251	36.19213	بعلبك	Baʿlabakk	Baʿlabakk	Balabakk	towns	BALABAKK_361N340E_C01	bClbk
cornu1	36.41518	36.22768	بغراس	Baġrās	Baghrās	Baghras	villages	BAGHRAS_362N364E_C01	bgrAs
cornu1	34.25903	35.67059	بثرون	Baṯrūn	Bathrūn	Bathrun	sites	BATHRUN_356N342E_C01	bvrwn
cornu1	33.90162	35.50910	بيروت	Bayrūt	Bayrūt	Bayrut	towns	BAYRUT_355N339E_C01	byrwt
cornu1	32.50000	35.49256	بيسان	Baysān	Baysān	Baysan	towns	BAYSAN_354N325E_C01	bysAn
cornu1	31.77768	35.20345	بيت المقدس|القدس|إيليا	Bayt al-Maqdis/al-Quds/Īliyā	Bayt al-Maqdis/al-Quds/Īliyā	Bayt al-Maqdis/al-Quds/Iliya	towns	BAYTMAQDIS_352N317E_C01	byt Almqds|Alqds|AylyA
cornu1	31.80167	35.60287	بيت الرام|بيت رامة|بيت الراس	Bayt al-Rām/Bayt Rāmaŧ/Bayt al-Rās	Bayt al-Rām/Bayt Rāmat/Bayt al-Rās	Bayt al-Ram/Bayt Rama/Bayt al-Ras	villages	BAYTRAM_356N318E_C01	byt AlrAm|byt rAmo|byt AlrAs
cornu1	31.60564	34.88059	بيت جبريل|بيت جبرين	Bayt Ǧibrīl/Bayt Ǧibrīn	Bayt Jibrīl/Bayt Jibrīn	Bayt Jibril/Bayt Jibrin	towns	BAYTJIBRIL_348N316E_C01	byt jbryl|byt jbryn
cornu1	31.70926	35.18792	بيت لحم	Bayt Laḥm	Bayt Laḥm	Bayt Lahm	villages	BAYTLAHM_351N317E_C01	byt lHm
cornu1	36.75139	36.23856	بياس	Bayyās	Bayyās	Bayyas	towns	BAYYAS_362N367E_C01	byAs
cornu1	32.80982	35.57727	بحيرة طبرية	Buḥayraŧ Ṭabariyyaŧ	Buḥayrat Ṭabariyya	Buhayrat Tabariyya	waters	BUHAYRATABARIYYA_355N328E_C01	bHyro Tbryo
cornu1	31.38450	35.46173	بحيرة المنتنة|بحيرة المقلوبة|بحيرة الميتة|بحيرة الصغر	Buḥayraŧ al-Muntinaŧ/Buḥayraŧ al-Maqlūbaŧ/Buḥayraŧ al-Miyyataŧ/Buḥayraŧ al-Ṣuġar	Buḥayrat al-Muntinat/Buḥayrat al-Maqlūbat/Buḥayrat al-Miyyatat/Buḥayrat al-Ṣughar	Buhayrat al-Muntina/Buhayrat al-Maqluba/Buhayrat al-Miyyata/Buhayrat al-Sughar	waters	BUHAYRAMUNTINA_354N313E_C01	bHyro Almntno|bHyro Almqlwbo|bHyro Almyto|bHyro AlSgr
