geoTitle,cornuName,geoTitleOther,lat,lon,cornuRegion,geoProv,geoFinalReg
معرة النعمان,معرة النعمان,معرة النعمان,35.64344,36.69124,Sham,الشام,قنسرين
معرة قنسرين,معرة قنسرين,معرة قنسرين,36.01376,36.69667,Sham,الشام,قنسرين
حمص,حمص,حمص,34.73793,36.72425,Sham,الشام,حمص
سلمية,سلمية,سلمية,35.00401,37.07106,Sham,الشام,حمص
تدمر,تدمر,تدمر,34.54735,38.28754,Sham,الشام,حمص
الخناصرة,الخناصرة,الخناصرة,35.78031,37.50551,Sham,الشام,حمص
كفرطاب,كفرطاب,كفرطاب,35.50744,36.61239,Sham,الشام,حمص
اللاذقية,اللاذقية,اللاذقية,35.51961,35.80763,Sham,الشام,حمص
جبلة,جبلة,جبلة,35.36567,35.95309,Sham,الشام,حمص
أنطرسوس,طرسوس,أنطرسوس,36.90807,34.95529,Sham,الشام,حمص
أنطرسوس,أنطرطوس,أنطرسوس,34.89985,35.90356,Sham,الشام,حمص
بلنياس,بلنياس,بلنياس,35.18256,35.97212,Sham,الشام,حمص
دمشق,دمشق,دمشق,33.51843,36.30199,Sham,الشام,دمشق
بانياس,بانياس,بانياس,33.2515,35.67787,Sham,الشام,دمشق
بيروت,بيروت,بيروت,32.06082,47.90375,Khuzistan,الشام,دمشق
بيروت,بيروت,بيروت,33.90162,35.5091,Sham,الشام,دمشق
أطرابلس,أطرابلس,أطرابلس/ طرابلس,32.87801,13.19209,Barqa,الشام,دمشق
أطرابلس,أطرابلس,أطرابلس/ طرابلس,34.44044,35.85194,Sham,الشام,دمشق
عرقة,عرقة,عرقة,38.36373,37.96251,Aqur,الشام,دمشق
عرقة,عرقة,عرقة,34.52991,36.073,Sham,الشام,دمشق
عرقة,عرقة,عرقة,17.31174,43.71306,Yemen,الشام,دمشق
بعلبك,بعلبك,بعلبك,34.01251,36.19213,Sham,الشام,البقاع
عرجموش,عرجموش,عرجموش,33.86315,35.89165,Sham,الشام,البقاع
الرملة,الرملة,الرملة,31.92484,34.86436,Sham,الشام,فلسطين
الرملة,الرمل,الرمل,40.13581,63.16025,Transoxiana,الشام,فلسطين
بيت المقدس,بيت المقدس,بيت المقدس/ القدس/ إيليا,31.77768,35.20345,Sham,الشام,فلسطين
بيت جبريل,بيت جبريل,بيت جبريل/ بيت جبرين,31.60564,34.88059,Sham,الشام,فلسطين
غزة,غزة,غزة,35.06747,-1.92701,Maghrib,الشام,فلسطين
غزة,غزة,غزة,31.49664,34.45664,Sham,الشام,فلسطين
ميماس,ميماس,ميماس,31.50145,34.42276,Sham,الشام,فلسطين
عسقلان,عسقلان,عسقلان,31.66572,34.55455,Sham,الشام,فلسطين
أرسوف,أرسوف,أرسوف,32.19588,34.80739,Sham,الشام,فلسطين
قيسارية,قيسرية,قيسرية,32.49326,34.89906,Sham,الشام,فلسطين
نابلس,نابلس,نابلس,32.22047,35.24238,Sham,الشام,فلسطين
أريحا,رحا,أريحا,31.86043,35.43774,Sham,الشام,فلسطين
عمان,عمان,عمان,23.82088,56.45284,Jazirat al-Arab,الشام,فلسطين
عمان,عمان,عمان,31.93113,35.91903,Sham,الشام,فلسطين
صغر,صغر,صغر/ زغر,31.03706,35.46845,Sham,الشام,الشراة
مآب,مآب,مآب/ مؤاب,31.2579,35.73272,Sham,الشام,الشراة
معان,معان,معان/ معان,30.19664,35.72442,Sham,الشام,الشراة
تبوك,تبوك,تبوك,28.37114,36.5062,Badiyat al-Arab,الشام,الشراة
الفرما,الفرما,الفرما,31.02282,32.59811,Egypt,مصر,الجفار
البقارة,البقارة,البقارة,31.02385,33.12566,Egypt,مصر,الجفار
البقارة,البارة,البارة,35.6843,36.54442,Sham,مصر,الجفار
العريش,العريش,العريش,31.12453,33.80807,Egypt,مصر,الجفار
العريش,العرش,العرش,16.96745,42.82787,Yemen,مصر,الجفار
بلبيس,بلبيس,بلبيس,30.41776,31.57097,Egypt,مصر,الحوف
مشتول,مشتول,مشتول,30.36522,31.37174,Egypt,مصر,الحوف
جرجير,جرجير,جرجير,30.91373,32.19454,Egypt,مصر,الحوف
فاقوس,فاقوس,فاقوس,30.71061,31.79581,Egypt,مصر,الحوف
غيفا,غيفا,غيفا,30.38241,31.51348,Egypt,مصر,الحوف
تونة,تونة,تونة,31.16442,32.0824,Egypt,مصر,الحوف
القلزم,القلزم,القلزم,30.02822,32.55684,Egypt,مصر,الحوف
العباسية,العباسية,العباسية,30.53647,31.70644,Egypt,مصر,الريف
شبرو,شبروا,شبرو,30.11048,31.24225,Egypt,مصر,الريف
منهور,دمنهور,دمنهور,31.03855,30.45872,Egypt,مصر,الريف
سنهور,سنهور,سنهور,31.16283,30.70832,Egypt,مصر,الريف
بنها العسل,بنها العسل,بنها العسل,30.43641,31.16142,Egypt,مصر,الريف
شطنوف,شطنوف,شطنوف,30.23314,31.06351,Egypt,مصر,الريف
مليج,مليج,مليج,30.58083,31.01342,Egypt,مصر,الريف
المحلة الكبيرة,محلة الكبيرة,محلة الكبيرة,30.97329,31.14662,Egypt,مصر,الريف
دميرة,دميرة,دميرة/ دميرة,31.1414,31.3504,Egypt,مصر,الريف
دقهلة,دقهلة,دقهلة,31.28355,31.66289,Egypt,مصر,الريف
العزيزية,منف,العزيزية,29.85447,31.25648,Egypt,مصر,مقدونية
الجيزة,الجيزة,الجيزة,30.00653,31.20183,Egypt,مصر,مقدونية
عين شمس,عين شمس,عين شمس,30.12919,31.3077,Egypt,مصر,مقدونية
أسوان,أسوان,أسوان,24.10701,32.98286,Egypt,مصر,الصعيد
حلوان,حلوان,حلوان,29.86015,31.29831,Egypt,مصر,الصعيد
حلوان,حلوان,حلوان,34.47862,45.93468,Iraq,مصر,الصعيد
حلوان,حلوان,حلوان,33.94771,56.22435,Mafaza,مصر,الصعيد
قوص,قوص,قوص,25.91848,32.74342,Egypt,مصر,الصعيد
بلينا,بلينا,بلينا,26.21922,31.9959,Egypt,مصر,الصعيد
بوصير,بوصير,بوصير/ بوصير الفيوم/ أبوصير/ بوصير قوريدس/ بوصير الأشمونين,29.27633,31.10677,Egypt,مصر,الصعيد
الفيوم,الفيوم,الفيوم,29.43447,30.69978,Egypt,مصر,الصعيد
